,Descubrir,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
342,Descubrir,c,normal,768,589824,32470844.0
343,Descubrir,c,normal,768,589824,31737928.0
344,Descubrir,c,normal,768,589824,32580002.0
345,Descubrir,c,normal,768,589824,33138936.0
346,Descubrir,c,normal,768,589824,31902882.0
347,Descubrir,c,normal,768,589824,32444152.0
348,Descubrir,c,normal,768,589824,32384540.0
349,Descubrir,c,normal,768,589824,33438452.0
350,Descubrir,c,normal,768,589824,34509720.0
351,Descubrir,c,normal,768,589824,31812456.0
352,Descubrir,c,normal,768,589824,32236900.0
353,Descubrir,c,normal,768,589824,34241300.0
354,Descubrir,c,normal,768,589824,31801390.0
355,Descubrir,c,normal,768,589824,32101322.0
356,Descubrir,c,normal,768,589824,57045332.0
357,Descubrir,c,normal,768,589824,31818040.0
358,Descubrir,c,normal,768,589824,32350122.0
359,Descubrir,c,normal,768,589824,32511338.0
360,Descubrir,c,normal,832,692224,77590744.0
361,Descubrir,c,normal,832,692224,38635256.0
362,Descubrir,c,normal,832,692224,37763936.0
363,Descubrir,c,normal,832,692224,37426564.0
364,Descubrir,c,normal,832,692224,44904096.0
365,Descubrir,c,normal,832,692224,38713516.0
366,Descubrir,c,normal,832,692224,37599404.0
367,Descubrir,c,normal,832,692224,37235560.0
368,Descubrir,c,normal,832,692224,42384612.0
369,Descubrir,c,normal,832,692224,37989012.0
370,Descubrir,c,normal,832,692224,37607028.0
371,Descubrir,c,normal,832,692224,92688592.0
372,Descubrir,c,normal,832,692224,37920440.0
373,Descubrir,c,normal,832,692224,37756976.0
374,Descubrir,c,normal,832,692224,37286840.0
375,Descubrir,c,normal,832,692224,38097928.0
376,Descubrir,c,normal,832,692224,37801172.0
377,Descubrir,c,normal,832,692224,37202140.0
378,Descubrir,c,normal,832,692224,38112792.0
379,Descubrir,c,normal,832,692224,39219892.0
380,Descubrir,c,normal,832,692224,37275716.0
381,Descubrir,c,normal,832,692224,38107424.0
382,Descubrir,c,normal,832,692224,37742836.0
383,Descubrir,c,normal,832,692224,46190376.0
384,Descubrir,c,normal,832,692224,37475360.0
385,Descubrir,c,normal,832,692224,37748264.0
386,Descubrir,c,normal,832,692224,73313896.0
387,Descubrir,c,normal,832,692224,37149856.0
388,Descubrir,c,normal,832,692224,37268568.0
389,Descubrir,c,normal,832,692224,38199248.0
390,Descubrir,c,normal,896,802816,45408992.0
391,Descubrir,c,normal,896,802816,44848684.0
392,Descubrir,c,normal,896,802816,43724768.0
393,Descubrir,c,normal,896,802816,43621564.0
394,Descubrir,c,normal,896,802816,43126320.0
395,Descubrir,c,normal,896,802816,43076740.0
396,Descubrir,c,normal,896,802816,44301824.0
397,Descubrir,c,normal,896,802816,44236204.0
398,Descubrir,c,normal,896,802816,43628324.0
399,Descubrir,c,normal,896,802816,84463800.0
400,Descubrir,c,normal,896,802816,44139560.0
401,Descubrir,c,normal,896,802816,43213488.0
402,Descubrir,c,normal,896,802816,43475384.0
403,Descubrir,c,normal,896,802816,43522588.0
404,Descubrir,c,normal,896,802816,43223912.0
405,Descubrir,c,normal,896,802816,43829064.0
406,Descubrir,c,normal,896,802816,44152600.0
407,Descubrir,c,normal,896,802816,43868480.0
408,Descubrir,c,normal,896,802816,44283156.0
409,Descubrir,c,normal,896,802816,44639128.0
410,Descubrir,c,normal,896,802816,43363836.0
411,Descubrir,c,normal,896,802816,43340000.0
412,Descubrir,c,normal,896,802816,79260072.0
413,Descubrir,c,normal,896,802816,43287488.0
414,Descubrir,c,normal,896,802816,44172780.0
415,Descubrir,c,normal,896,802816,43633384.0
416,Descubrir,c,normal,896,802816,44032408.0
417,Descubrir,c,normal,896,802816,43611780.0
418,Descubrir,c,normal,896,802816,46451280.0
419,Descubrir,c,normal,896,802816,43389104.0
420,Descubrir,c,normal,960,921600,72075960.0
421,Descubrir,c,normal,960,921600,50735184.0
422,Descubrir,c,normal,960,921600,50378616.0
423,Descubrir,c,normal,960,921600,67251680.0
424,Descubrir,c,normal,960,921600,120390496.0
425,Descubrir,c,normal,960,921600,51898432.0
426,Descubrir,c,normal,960,921600,50500072.0
427,Descubrir,c,normal,960,921600,50461420.0
428,Descubrir,c,normal,960,921600,92231120.0
429,Descubrir,c,normal,960,921600,49894324.0
430,Descubrir,c,normal,960,921600,51512148.0
431,Descubrir,c,normal,960,921600,91823208.0
432,Descubrir,c,normal,960,921600,50191616.0
433,Descubrir,c,normal,960,921600,49683372.0
434,Descubrir,c,normal,960,921600,93148528.0
435,Descubrir,c,normal,960,921600,105513272.0
436,Descubrir,c,normal,960,921600,52323064.0
437,Descubrir,c,normal,960,921600,52467792.0
438,Descubrir,c,normal,960,921600,52712988.0
439,Descubrir,c,normal,960,921600,62366968.0
440,Descubrir,c,normal,960,921600,52292356.0
441,Descubrir,c,normal,960,921600,49198028.0
442,Descubrir,c,normal,960,921600,73134880.0
443,Descubrir,c,normal,960,921600,49646380.0
444,Descubrir,c,normal,960,921600,49603828.0
445,Descubrir,c,normal,960,921600,90291144.0
446,Descubrir,c,normal,960,921600,78067168.0
447,Descubrir,c,normal,960,921600,49411408.0
448,Descubrir,c,normal,960,921600,49573812.0
449,Descubrir,c,normal,960,921600,50409576.0
450,Descubrir,c,normal,1024,1048576,66307236.0
451,Descubrir,c,normal,1024,1048576,120253024.0
452,Descubrir,c,normal,1024,1048576,80847344.0
453,Descubrir,c,normal,1024,1048576,59561428.0
454,Descubrir,c,normal,1024,1048576,60858548.0
455,Descubrir,c,normal,1024,1048576,59857776.0
456,Descubrir,c,normal,1024,1048576,114903488.0
457,Descubrir,c,normal,1024,1048576,132377352.0
458,Descubrir,c,normal,1024,1048576,61104652.0
459,Descubrir,c,normal,1024,1048576,58122116.0
460,Descubrir,c,normal,1024,1048576,60472828.0
461,Descubrir,c,normal,1024,1048576,59540956.0
462,Descubrir,c,normal,1024,1048576,56261872.0
463,Descubrir,c,normal,1024,1048576,58103200.0
464,Descubrir,c,normal,1024,1048576,57828124.0
465,Descubrir,c,normal,1024,1048576,57271648.0
466,Descubrir,c,normal,1024,1048576,62055064.0
467,Descubrir,c,normal,1024,1048576,59757704.0
468,Descubrir,c,normal,1024,1048576,58386644.0
469,Descubrir,c,normal,1024,1048576,57990792.0
470,Descubrir,c,normal,1024,1048576,56944912.0
471,Descubrir,c,normal,1024,1048576,59282896.0
472,Descubrir,c,normal,1024,1048576,59173936.0
473,Descubrir,c,normal,1024,1048576,56992300.0
474,Descubrir,c,normal,1024,1048576,57228520.0
475,Descubrir,c,normal,1024,1048576,113072696.0
476,Descubrir,c,normal,1024,1048576,59215928.0
477,Descubrir,c,normal,1024,1048576,58361940.0
478,Descubrir,c,normal,1024,1048576,59121524.0
479,Descubrir,c,normal,1024,1048576,58070080.0
480,Descubrir,c,normal-01,64,4096,59420.0
481,Descubrir,c,normal-01,64,4096,59297.0
482,Descubrir,c,normal-01,64,4096,59330.0
483,Descubrir,c,normal-01,64,4096,59521.0
484,Descubrir,c,normal-01,64,4096,60060.0
485,Descubrir,c,normal-01,64,4096,56828.0
486,Descubrir,c,normal-01,64,4096,59783.0
487,Descubrir,c,normal-01,64,4096,59530.0
488,Descubrir,c,normal-01,64,4096,61002.0
489,Descubrir,c,normal-01,64,4096,59876.0
490,Descubrir,c,normal-01,64,4096,59658.0
491,Descubrir,c,normal-01,64,4096,60993.0
492,Descubrir,c,normal-01,64,4096,56423.0
493,Descubrir,c,normal-01,64,4096,61279.0
494,Descubrir,c,normal-01,64,4096,59464.0
495,Descubrir,c,normal-01,64,4096,56608.0
496,Descubrir,c,normal-01,64,4096,56405.0
497,Descubrir,c,normal-01,64,4096,59601.0
498,Descubrir,c,normal-01,64,4096,815853.0
499,Descubrir,c,normal-01,64,4096,64499.0
500,Descubrir,c,normal-01,64,4096,57111.0
501,Descubrir,c,normal-01,64,4096,56805.0
502,Descubrir,c,normal-01,64,4096,59509.0
503,Descubrir,c,normal-01,64,4096,59655.0
504,Descubrir,c,normal-01,64,4096,59705.0
505,Descubrir,c,normal-01,64,4096,61536.0
506,Descubrir,c,normal-01,64,4096,59863.0
507,Descubrir,c,normal-01,64,4096,61463.0
508,Descubrir,c,normal-01,64,4096,59631.0
509,Descubrir,c,normal-01,64,4096,59646.0
510,Descubrir,c,normal-01,128,16384,231277.0
511,Descubrir,c,normal-01,128,16384,232030.0
512,Descubrir,c,normal-01,128,16384,231682.0
513,Descubrir,c,normal-01,128,16384,238143.0
514,Descubrir,c,normal-01,128,16384,271567.0
515,Descubrir,c,normal-01,128,16384,231176.0
516,Descubrir,c,normal-01,128,16384,231748.0
517,Descubrir,c,normal-01,128,16384,240733.0
518,Descubrir,c,normal-01,128,16384,220386.0
519,Descubrir,c,normal-01,128,16384,231468.0
520,Descubrir,c,normal-01,128,16384,231870.0
521,Descubrir,c,normal-01,128,16384,232465.0
522,Descubrir,c,normal-01,128,16384,241395.0
523,Descubrir,c,normal-01,128,16384,272625.0
524,Descubrir,c,normal-01,128,16384,220262.0
525,Descubrir,c,normal-01,128,16384,232507.0
526,Descubrir,c,normal-01,128,16384,280465.0
527,Descubrir,c,normal-01,128,16384,278889.0
528,Descubrir,c,normal-01,128,16384,220012.0
529,Descubrir,c,normal-01,128,16384,219639.0
530,Descubrir,c,normal-01,128,16384,220041.0
531,Descubrir,c,normal-01,128,16384,219550.0
532,Descubrir,c,normal-01,128,16384,231968.0
533,Descubrir,c,normal-01,128,16384,232165.0
534,Descubrir,c,normal-01,128,16384,219329.0
535,Descubrir,c,normal-01,128,16384,219845.0
536,Descubrir,c,normal-01,128,16384,239243.0
537,Descubrir,c,normal-01,128,16384,232227.0
538,Descubrir,c,normal-01,128,16384,219356.0
539,Descubrir,c,normal-01,128,16384,219532.0
540,Descubrir,c,normal-01,192,36864,493676.0
541,Descubrir,c,normal-01,192,36864,704265.0
542,Descubrir,c,normal-01,192,36864,540165.0
543,Descubrir,c,normal-01,192,36864,493652.0
544,Descubrir,c,normal-01,192,36864,493979.0
545,Descubrir,c,normal-01,192,36864,578634.0
546,Descubrir,c,normal-01,192,36864,519915.0
547,Descubrir,c,normal-01,192,36864,521202.0
548,Descubrir,c,normal-01,192,36864,556178.0
549,Descubrir,c,normal-01,192,36864,494230.0
550,Descubrir,c,normal-01,192,36864,494471.0
551,Descubrir,c,normal-01,192,36864,494245.0
552,Descubrir,c,normal-01,192,36864,520436.0
553,Descubrir,c,normal-01,192,36864,494128.0
554,Descubrir,c,normal-01,192,36864,21618112.0
555,Descubrir,c,normal-01,192,36864,654175.0
556,Descubrir,c,normal-01,192,36864,493685.0
557,Descubrir,c,normal-01,192,36864,586004.0
558,Descubrir,c,normal-01,192,36864,554501.0
559,Descubrir,c,normal-01,192,36864,493718.0
560,Descubrir,c,normal-01,192,36864,822071.0
561,Descubrir,c,normal-01,192,36864,520598.0
562,Descubrir,c,normal-01,192,36864,568812.0
563,Descubrir,c,normal-01,192,36864,493583.0
564,Descubrir,c,normal-01,192,36864,520574.0
565,Descubrir,c,normal-01,192,36864,493646.0
566,Descubrir,c,normal-01,192,36864,7646184.0
567,Descubrir,c,normal-01,192,36864,4273869.0
568,Descubrir,c,normal-01,192,36864,535468.0
569,Descubrir,c,normal-01,192,36864,573176.0
570,Descubrir,c,normal-01,256,65536,874929.0
