,Ocultar,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
492,Ocultar,c,normal-01,64,4096,61075.0
493,Ocultar,c,normal-01,64,4096,61406.0
494,Ocultar,c,normal-01,64,4096,61201.0
495,Ocultar,c,normal-01,64,4096,60969.0
496,Ocultar,c,normal-01,64,4096,64019.0
497,Ocultar,c,normal-01,64,4096,61409.0
498,Ocultar,c,normal-01,64,4096,61073.0
499,Ocultar,c,normal-01,64,4096,64653.0
500,Ocultar,c,normal-01,64,4096,65124.0
501,Ocultar,c,normal-01,64,4096,64356.0
502,Ocultar,c,normal-01,64,4096,60838.0
503,Ocultar,c,normal-01,64,4096,60837.0
504,Ocultar,c,normal-01,64,4096,60801.0
505,Ocultar,c,normal-01,64,4096,61445.0
506,Ocultar,c,normal-01,64,4096,60921.0
507,Ocultar,c,normal-01,64,4096,61832.0
508,Ocultar,c,normal-01,64,4096,61085.0
509,Ocultar,c,normal-01,64,4096,60900.0
510,Ocultar,c,normal-01,128,16384,244502.0
511,Ocultar,c,normal-01,128,16384,297556.0
512,Ocultar,c,normal-01,128,16384,244538.0
513,Ocultar,c,normal-01,128,16384,244297.0
514,Ocultar,c,normal-01,128,16384,295197.0
515,Ocultar,c,normal-01,128,16384,257740.0
516,Ocultar,c,normal-01,128,16384,258455.0
517,Ocultar,c,normal-01,128,16384,244199.0
518,Ocultar,c,normal-01,128,16384,410304.0
519,Ocultar,c,normal-01,128,16384,245250.0
520,Ocultar,c,normal-01,128,16384,244797.0
521,Ocultar,c,normal-01,128,16384,245029.0
522,Ocultar,c,normal-01,128,16384,244994.0
523,Ocultar,c,normal-01,128,16384,244768.0
524,Ocultar,c,normal-01,128,16384,293058.0
525,Ocultar,c,normal-01,128,16384,475000.0
526,Ocultar,c,normal-01,128,16384,258247.0
527,Ocultar,c,normal-01,128,16384,423712.0
528,Ocultar,c,normal-01,128,16384,244824.0
529,Ocultar,c,normal-01,128,16384,244723.0
530,Ocultar,c,normal-01,128,16384,245563.0
531,Ocultar,c,normal-01,128,16384,265843.0
532,Ocultar,c,normal-01,128,16384,244762.0
533,Ocultar,c,normal-01,128,16384,244699.0
534,Ocultar,c,normal-01,128,16384,244922.0
535,Ocultar,c,normal-01,128,16384,244574.0
536,Ocultar,c,normal-01,128,16384,258038.0
537,Ocultar,c,normal-01,128,16384,257895.0
538,Ocultar,c,normal-01,128,16384,257517.0
539,Ocultar,c,normal-01,128,16384,244669.0
540,Ocultar,c,normal-01,192,36864,545979.0
541,Ocultar,c,normal-01,192,36864,575677.0
542,Ocultar,c,normal-01,192,36864,694903.0
543,Ocultar,c,normal-01,192,36864,631217.0
544,Ocultar,c,normal-01,192,36864,546012.0
545,Ocultar,c,normal-01,192,36864,545753.0
546,Ocultar,c,normal-01,192,36864,632806.0
547,Ocultar,c,normal-01,192,36864,613914.0
548,Ocultar,c,normal-01,192,36864,575677.0
549,Ocultar,c,normal-01,192,36864,575224.0
550,Ocultar,c,normal-01,192,36864,595849.0
551,Ocultar,c,normal-01,192,36864,614326.0
552,Ocultar,c,normal-01,192,36864,627249.0
553,Ocultar,c,normal-01,192,36864,546584.0
554,Ocultar,c,normal-01,192,36864,578852.0
555,Ocultar,c,normal-01,192,36864,580422.0
556,Ocultar,c,normal-01,192,36864,546295.0
557,Ocultar,c,normal-01,192,36864,607937.0
558,Ocultar,c,normal-01,192,36864,545723.0
559,Ocultar,c,normal-01,192,36864,545938.0
560,Ocultar,c,normal-01,192,36864,631504.0
561,Ocultar,c,normal-01,192,36864,585621.0
562,Ocultar,c,normal-01,192,36864,769687.0
563,Ocultar,c,normal-01,192,36864,575665.0
564,Ocultar,c,normal-01,192,36864,545714.0
565,Ocultar,c,normal-01,192,36864,623324.0
566,Ocultar,c,normal-01,192,36864,632654.0
567,Ocultar,c,normal-01,192,36864,575319.0
568,Ocultar,c,normal-01,192,36864,616070.0
569,Ocultar,c,normal-01,192,36864,659285.0
